Trial,Participant,StartX,StartY,TargetX,TargetY,Width,Time,Success
159,0,400,393,310,310,40,0.734,1
160,0,299,301,400,310,40,0.783,1
161,0,403,306,310,310,40,0.699,1
162,0,309,321,310,490,40,0.818,1
163,0,311,490,400,400,40,0.683,1
164,0,404,417,490,400,40,0.916,1
165,0,503,398,310,490,40,0.884,1
166,0,318,486,490,220,40,0.85,1
167,0,495,214,220,400,40,0.983,1
168,0,229,392,490,220,40,0.918,1
169,0,497,209,220,220,40,0.95,1
170,0,222,217,220,310,40,0.749,1
171,0,220,320,310,310,40,0.684,1
172,0,297,315,400,490,40,0.983,1
173,0,386,477,310,490,40,1.15,1
174,0,297,491,310,310,40,0.884,1
175,0,312,308,220,310,40,0.783,1
176,0,203,318,220,490,40,0.933,1
177,0,220,485,400,400,40,0.916,1
178,0,406,408,220,490,40,0.835,1
179,0,220,489,400,220,40,0.916,1
180,0,403,218,220,310,40,0.884,1
181,0,222,313,220,310,40,0.549,1
182,0,222,313,310,220,40,1.1,1
183,0,306,218,400,220,40,0.733,1
184,0,401,224,490,220,40,0.65,1
185,0,497,228,400,490,40,0.966,1
186,0,406,491,490,220,40,0.884,1
187,0,492,228,400,400,40,0.9,1
188,0,400,402,310,400,40,0.733,1
189,0,306,402,400,220,40,0.834,1
190,0,399,228,310,220,40,0.816,1
191,0,311,223,220,400,40,0.883,1
192,0,224,394,490,490,40,0.933,1
193,0,483,495,400,400,40,0.8,1
194,0,400,407,220,400,40,0.85,1
195,0,226,401,400,400,40,0.95,1
196,0,404,405,310,490,40,0.8,1
197,0,300,500,400,310,40,0.884,1
198,0,404,320,310,400,40,0.799,1
199,0,315,394,220,220,40,0.751,1
200,0,224,211,310,490,40,0.933,1
201,0,311,477,490,220,40,0.883,1
202,0,491,215,400,310,40,0.766,1
203,0,387,312,400,310,40,1.2,1
204,0,405,315,490,490,40,0.983,1
205,0,486,486,490,490,40,0.533,1
206,0,486,486,220,220,40,1.0,1
207,0,224,212,310,220,40,0.65,1
208,0,310,219,310,310,40,0.683,1
209,0,313,321,310,220,40,0.717,1
210,0,311,228,220,400,40,0.85,1
211,0,229,398,220,490,40,0.667,1
212,0,214,503,310,400,40,0.783,1
213,0,304,400,400,490,40,0.783,1
214,0,405,502,310,220,40,0.884,1
215,0,312,231,310,400,40,0.866,1
216,0,320,405,220,400,40,1.251,1
217,0,211,400,310,220,40,0.833,1
218,0,303,227,220,400,40,0.967,1
